episode index,list index,imdb id,type,,,
1,250,338564,a,07/01/20,,episode types
2,249,92067,a,14/01/20,,a = standard episode
3,248,2015381,a,21/01/20,,b = bonus
4,247,58946,a,28/01/20,,c = anniversary episode
5,246,103639,a,04/02/20,,I = interview
5.5,B1,381061,b,11/02/20,,x = other
6,245,87884,a,18/02/20,,
7,244,94625,a,25/02/20,,
8,243,88247,a,03/03/20,,
9,242,64115,a,10/03/20,,
10,241,2338151,a,17/03/20,,
10.5,B2,4686844,b,24/03/20,,
11,240,118694,a,31/03/20,,
12,239,1454029,a,07/04/20,,
13,238,381681,a,14/04/20,,
14,237,93779,a,21/04/20,,
15,236,1954470,a,28/04/20,,
15.5,B3,6998518,b,05/05/20,,
16,235,169102,a,12/05/20,,
17,234,113247,a,19/05/20,,
18,233,25316,a,26/05/20,,
19,232,3417422,a,02/06/20,,
20,231,198781,a,09/06/20,,
20.5,B4,4912910,b,16/06/20,,
21,230,4016934,a,23/06/20,,
22,229,42041,a,30/06/20,,
23,228,43338,a,07/07/20,,
24,227,75148,a,14/07/20,,
25,226,32976,a,21/07/20,,
25.5,B5,8946378,b,28/07/20,,
26,225,40725,a,04/08/20,,
27,224,1895587,a,11/08/20,,
28,223,97165,a,18/08/20,,
29,222,245712,a,25/08/20,,
30,221,395169,a,01/09/20,,
30.5,B6,446029,b,08/09/20,,
31,220,1201607,a,15/09/20,,
32,219,53198,a,22/09/20,,
33,218,87544,a,29/09/20,,
34,217,52618,a,06/10/20,,
35,216,60107,a,13/10/20,,
35.5,B7,780504,b,20/10/20,,
36,215,405508,a,27/10/20,,
37,214,405508,a,03/11/20,,
38,213,1979320,a,10/11/20,,
39,212,1302006,a,17/11/20,,
40,211,1028532,a,24/11/20,,
40.5,B8,3416742,b,01/12/20,,
41,210,405159,a,08/12/20,,
42,209,19254,a,15/12/20,,
43,208,72684,a,22/12/20,,
44,207,91763,a,29/12/20,,
44.1,C1,,c,05/01/21,,
45,206,1392190,a,12/01/21,,
45.5,B9,2798920,b,19/01/21,,
46,205,79470,a,26/01/21,,
47,204,92005,a,02/02/21,,
48,203,74958,a,09/02/21,,
49,202,46268,a,16/02/21,,
50,201,758758,a,23/02/21,,
50.5,B10,80339,b,02/03/21,,
51,200,2024544,a,09/03/21,,
52,199,61512,a,16/03/21,,
53,198,1392214,a,23/03/21,,
54,197,264464,a,30/03/21,,
55,196,112471,a,06/04/21,,
55.5,B11,5104604,b,13/04/21,,
56,195,60827,a,20/04/21,,
57,194,15324,a,27/04/21,,
58,193,2278388,a,04/05/21,,
59,192,17925,a,11/05/21,,
60,191,892769,a,18/05/21,,
60.5,B12,1706620,b,25/05/21,,
61,190,31679,a,01/06/21,,
62,189,353969,a,08/06/21,,
63,188,2119532,a,15/06/21,,
64,187,2267998,a,22/06/21,,
65,186,107207,a,29/06/21,,
65.5,B13,6723592,b,06/07/21,,
66,185,978762,a,13/07/21,,
66.1,I1,,I,20/07/21,,
67,184,3011894,a,27/07/21,,
68,183,118715,a,03/08/21,,
69,182,79944,a,10/08/21,,
70,181,120382,a,17/08/21,,
70.5,B14,6334354,b,24/08/21,,
71,180,46438,a,31/08/21,,
72,179,77416,a,07/09/21,,
73,178,116231,a,14/09/21,,
74,177,266697,a,21/09/21,,
75,176,4729430,a,28/09/21,,
75.5,B15,9243804,b,05/10/21,,
76,175,1205489,a,12/10/21,,
77,174,116282,a,19/10/21,,
78,173,8108198,a,26/10/21,,
79,172,50986,a,02/11/21,,
80,171,266543,a,09/11/21,,
80.5,B16,382932,b,16/11/21,,
81,170,47296,a,23/11/21,,
82,169,107290,a,30/11/21,,
